time,player_name,player_role,skill,evaluation_code,start_zone,end_zone,end_subzone,set_number,team_id
2024-08-22,Cledenilson Souza,middle,Serve,!,6,5,B,1,SDC
2024-08-22,Cledenilson Souza,middle,Serve,+,6,5,B,1,SDC
2024-08-22,Cledenilson Souza,middle,Serve,-,6,6,D,1,SDC
2024-08-22,WILIAN DOARDO,outside,Serve,-,1,6,B,1,MTC
2024-08-22,WILIAN DOARDO,outside,Serve,=,1,6,B,1,MTC
2024-08-22,Matheus Goncalves,setter,Serve,!,5,6,B,1,SDC
2024-08-22,Matheus Goncalves,setter,Serve,-,5,5,B,1,SDC
2024-08-22,KELVI SOUZA,middle,Serve,-,1,6,D,1,MTC
2024-08-22,KELVI SOUZA,middle,Serve,!,1,5,C,1,MTC
2024-08-22,KELVI SOUZA,middle,Serve,=,1,0,,1,MTC
2024-08-22,Gabriel Vaccari,outside,Serve,-,5,6,B,1,SDC
2024-08-22,Gabriel Vaccari,outside,Serve,!,5,6,D,1,SDC
2024-08-22,ABOUBACAR NETO,opposite,Serve,-,5,5,B,1,MTC
2024-08-22,Lucas Saatkamp,middle,Serve,=,6,5,C,1,SDC
2024-08-22,PAULO SILVA,outside,Serve,=,1,5,C,1,MTC
2024-08-22,Wallace Da Souza,opposite,Serve,-,6,1,,1,SDC
2024-08-22,GABRIEL BERTOLINI,middle,Serve,-,1,1,,1,MTC
2024-08-22,GABRIEL BERTOLINI,middle,Serve,!,1,6,B,1,MTC
2024-08-22,Rodrigo Sousa,outside,Serve,-,1,6,D,1,SDC
2024-08-22,JAVAD MOHAMMAD,setter,Serve,+,6,1,C,1,MTC
2024-08-22,Cledenilson Souza,middle,Serve,-,6,1,D,1,SDC
2024-08-22,WILIAN DOARDO,outside,Serve,!,1,6,D,1,MTC
2024-08-22,Matheus Goncalves,setter,Serve,+,5,5,B,1,SDC
2024-08-22,KELVI SOUZA,middle,Serve,-,1,1,,1,MTC
2024-08-22,Gabriel Vaccari,outside,Serve,+,5,6,B,1,SDC
2024-08-22,ABOUBACAR NETO,opposite,Serve,+,5,1,C,1,MTC
2024-08-22,ABOUBACAR NETO,opposite,Serve,-,5,5,B,1,MTC
2024-08-22,ABOUBACAR NETO,opposite,Serve,=,5,6,B,1,MTC
2024-08-22,Lucas Saatkamp,middle,Serve,=,6,5,A,1,SDC
2024-08-22,RENATO SANTOS,outside,Serve,-,6,5,B,1,MTC
2024-08-22,Wallace Da Souza,opposite,Serve,-,1,5,B,1,SDC
2024-08-22,GABRIEL BERTOLINI,middle,Serve,=,1,1,A,1,MTC
2024-08-22,Rodrigo Sousa,outside,Serve,!,6,6,D,1,SDC
2024-08-22,Rodrigo Sousa,outside,Serve,!,6,6,D,1,SDC
2024-08-22,JAVAD MOHAMMAD,setter,Serve,-,6,8,B,1,MTC
2024-08-22,Cledenilson Souza,middle,Serve,=,6,0,,1,SDC
2024-08-22,WILIAN DOARDO,outside,Serve,=,1,1,,1,MTC
2024-08-22,Matheus Goncalves,setter,Serve,-,5,5,,1,SDC
2024-08-22,KELVI SOUZA,middle,Serve,=,1,6,B,1,MTC
2024-08-22,Gabriel Vaccari,outside,Serve,+,5,6,B,1,SDC
2024-08-22,Gabriel Vaccari,outside,Serve,=,5,6,D,1,SDC
2024-08-22,GUSTAVO ORLANDO,setter,Serve,-,1,6,B,1,MTC
2024-08-22,Lucas Saatkamp,middle,Serve,=,6,0,,1,SDC
2024-08-22,PAULO SILVA,outside,Serve,=,1,1,A,1,MTC
2024-08-22,Wallace Da Souza,opposite,Serve,+,1,9,,1,SDC
2024-08-22,Wallace Da Souza,opposite,Serve,-,1,6,D,1,SDC
2024-08-22,GABRIEL BERTOLINI,middle,Serve,+,1,5,B,1,MTC
2024-08-22,Rodrigo Sousa,outside,Serve,-,6,6,B,1,SDC
2024-08-22,JAVAD MOHAMMAD,setter,Serve,/,6,1,,2,MTC
2024-08-22,Lucas Saatkamp,middle,Serve,-,6,6,B,2,SDC
2024-08-22,Lucas Saatkamp,middle,Serve,-,6,1,,2,SDC
2024-08-22,Lucas Saatkamp,middle,Serve,+,6,1,D,2,SDC
2024-08-22,WILIAN DOARDO,outside,Serve,+,1,5,B,2,MTC
2024-08-22,WILIAN DOARDO,outside,Serve,=,1,6,D,2,MTC
2024-08-22,Wallace Da Souza,opposite,Serve,!,1,6,B,2,SDC
2024-08-22,KELVI SOUZA,middle,Serve,-,1,6,D,2,MTC
2024-08-22,KELVI SOUZA,middle,Serve,/,1,7,C,2,MTC
2024-08-22,KELVI SOUZA,middle,Serve,-,1,6,D,2,MTC
2024-08-22,Rodrigo Sousa,outside,Serve,!,6,6,D,2,SDC
2024-08-22,ABOUBACAR NETO,opposite,Serve,=,5,0,,2,MTC
2024-08-22,Cledenilson Souza,middle,Serve,+,6,7,D,2,SDC
2024-08-22,Cledenilson Souza,middle,Serve,!,6,6,B,2,SDC
2024-08-22,PAULO SILVA,outside,Serve,+,1,7,D,2,MTC
2024-08-22,PAULO SILVA,outside,Serve,!,1,5,,2,MTC
2024-08-22,PAULO SILVA,outside,Serve,+,1,5,,2,MTC
2024-08-22,Matheus Goncalves,setter,Serve,-,5,6,B,2,SDC
2024-08-22,GABRIEL BERTOLINI,middle,Serve,=,1,0,,2,MTC
2024-08-22,Gabriel Vaccari,outside,Serve,+,5,6,D,2,SDC
2024-08-22,JAVAD MOHAMMAD,setter,Serve,#,6,6,D,2,MTC
2024-08-22,JAVAD MOHAMMAD,setter,Serve,+,6,5,B,2,MTC
2024-08-22,Lucas Saatkamp,middle,Serve,=,6,0,,2,SDC
2024-08-22,WILIAN DOARDO,outside,Serve,-,1,6,D,2,MTC
2024-08-22,Wallace Da Souza,opposite,Serve,-,1,5,B,2,SDC
